sigla_provincia;denominazione_ita;lat;lon;superficie_kmq
TO;Agliè;45,3634368;7,7685999;13,1462
TO;Airasca;44,9168832;7,4844311;15,7393
TO;Ala di Stura;45,3151133;7,3043438;46,3315
TO;Albiano d'Ivrea;45,4338982;7,9491448;11,7314
TO;Almese;45,1176634;7,3951819;17,8756
TO;Alpette;45,4099867;7,5785972;5,6261
TO;Alpignano;45,0944696;7,5242673;11,9193
TO;Andezeno;45,0358599;7,8699487;7,486
TO;Andrate;45,528381;7,8738392;9,3085
TO;Angrogna;44,8434461;7,2242923;38,8782
TO;Arignano;45,044028;7,9024464;8,1668
TO;Avigliana;45,0793571;7,3963234;23,2172
TO;Azeglio;45,4248665;7,9947706;9,9605
TO;Bairo;45,3862534;7,756918;7,0859
TO;Balangero;45,2700324;7,5193095;13,0063
TO;Baldissero Canavese;45,408408;7,7444444;4,5064
TO;Baldissero Torinese;45,0684227;7,8178077;15,4054
TO;Balme;45,302297;7,218314;62,7105
TO;Banchette;45,4608553;7,8565637;2,0289
TO;Barbania;45,2905029;7,6305109;12,8027
TO;Bardonecchia;45,0781688;6,7038239;132,203
TO;Barone Canavese;45,3277288;7,8705562;3,9864
TO;Beinasco;45,0220777;7,5791581;6,7343
TO;Bibiana;44,7975756;7,2897861;18,5979
TO;Bobbio Pellice;44,8077018;7,1179046;94,0819
TO;Bollengo;45,4733626;7,9453487;14,2234
TO;Borgaro Torinese;45,1519831;7,6578944;11,1039
TO;Borgiallo;45,4168178;7,6677336;6,9648
TO;Borgofranco d'Ivrea;45,5130128;7,858522;13,4189
TO;Borgomasino;45,361555;7,9887996;12,3712
TO;Borgone Susa;45,1231397;7,241214;4,9617
TO;Bosconero;45,2685663;7,7650698;10,919
TO;Brandizzo;45,1776535;7,8414756;6,2914
TO;Bricherasio;44,8255775;7,3028877;22,7585
TO;Brosso;45,4927657;7,8033343;11,135
TO;Brozolo;45,1174194;8,0712784;8,9504
TO;Bruino;45,0202313;7,4676911;5,5701
TO;Brusasco;45,1559558;8,0600942;14,3592
TO;Bruzolo;45,1431255;7,1939769;12,5598
TO;Buriasco;44,873355;7,411923;14,6868
TO;Burolo;45,4841252;7,9320566;5,476
TO;Busano;45,3288398;7,6557436;5,0591
TO;Bussoleno;45,1372801;7,1493187;37,0661
TO;Buttigliera Alta;45,0670146;7,4367807;8,0973
TO;Cafasse;45,2447136;7,5181235;10,2312
TO;Caluso;45,307865;7,8915053;39,4925
TO;Cambiano;44,9734576;7,7793248;14,1314
TO;Campiglione Fenile;44,8021199;7,3250382;11,0863
TO;Candia Canavese;45,3281713;7,8866124;9,1318
TO;Candiolo;44,9602633;7,6012111;11,8499
TO;Canischio;45,3743498;7,5952182;11,9505
TO;Cantalupa;44,9403073;7,3326039;11,1953
TO;Cantoira;45,3432391;7,3816797;23,0319
TO;Caprie;45,1178654;7,3325065;16,4078
TO;Caravino;45,3986096;7,9602135;11,5371
TO;Carema;45,5844545;7,8123043;10,2579
